chr	pos	k
XIII	758906	4
XIII	795030	3
XIII	794993	21
XIII	795029	9
XIII	795063	9
XIII	798521	9
XIII	801275	12
XIII	804927	3
XIII	811238	3
XIII	811624	18
XIII	812154	12
XIII	822590	1
XIII	831413	8
XIII	851714	1
XIII	874560	1
XIII	878720	10
XIII	879847	12
XIII	879879	6
XIII	895256	6
XIII	895594	11
XIII	896939	6
XIII	907466	9
XIII	908144	36
XIII	908144	72
XIII	914815	15
XIII	922659	21
XIII	924269	11
XIII	924319	17
XIII	924306	19
XIII	924325	11
XIII	924366	10
XIII	924323	30
XIII	924342	13
XIII	924376	18
XIII	924396	11
XIV	74	10
XIV	1585	36
XIV	6204	11
XIV	6625	13
XIV	6619	19
XIV	6617	6
XIV	6647	11
XIV	6658	14
XIV	6672	6
XIV	23671	12
XIV	27713	16
XIV	33228	8
XIV	33754	12
XIV	40482	12
XIV	43279	2
XIV	54611	13
XIV	70027	3
XIV	70097	6
XIV	79838	12
XIV	90513	9
XIV	96881	11
XIV	102463	11
XIV	106081	18
XIV	106091	9
XIV	110736	11
XIV	114820	11
XIV	131641	3
XIV	135876	4
XIV	154924	1
XIV	157519	8
XIV	198780	9
XIV	217179	2
XIV	217179	14
XIV	225638	15
XIV	243542	12
XIV	254877	24
XIV	254883	48
XIV	254890	48
XIV	256975	12
XIV	268809	9
XIV	274020	8
XIV	282428	9
XIV	282536	60
XIV	289841	12
XIV	290008	12
XIV	290407	9
XIV	300930	1
XIV	300929	19
XIV	300930	20
XIV	325187	13
XIV	333269	3
XIV	333308	15
XIV	333311	12
XIV	335915	11
XIV	337294	9
XIV	343994	12
XIV	357013	1
XIV	359346	1
XIV	371324	12
XIV	375288	11
XIV	387091	10
XIV	393086	6
XIV	394311	6
XIV	394517	8
XIV	410617	9
XIV	413429	12
XIV	413449	1
XIV	415048	1
XIV	415048	25
XIV	415048	17
XIV	416157	9
XIV	427032	14
XIV	429777	2
XIV	430896	12
XIV	441269	21
XIV	454333	11
XIV	479460	1
XIV	479888	6
XIV	479906	12
XIV	481010	11
XIV	486553	1
XIV	493070	8
XIV	511005	9
XIV	512461	2
XIV	515986	3
XIV	529338	9
XIV	529341	12
XIV	532426	9
XIV	541525	15
XIV	546474	11
XIV	562156	10
XIV	567784	10
XIV	570253	6
XIV	572813	14
XIV	577028	15
XIV	579921	15
XIV	579949	6
XIV	592501	12
XIV	599385	14
XIV	601978	6
XIV	603738	12
XIV	604228	9
XIV	605721	2
XIV	609520	15
XIV	619068	21
XIV	619291	9
XIV	628807	11
XIV	642481	6
XIV	642507	12
XIV	644218	2
XIV	652055	11
XIV	652347	12
XIV	652552	3
XIV	661487	5
XIV	661483	15
XIV	662250	6
XIV	663598	2
XIV	667325	1
XIV	676062	9
XIV	678615	6
XIV	685336	9
XIV	694241	2
XIV	703107	5
XIV	704256	21
XIV	704256	63
XIV	717770	6
XIV	720277	15
XIV	720271	9
XIV	720271	12
XIV	720376	6
XIV	720376	9
XIV	730995	9
XIV	750087	16
XIV	755178	11
XIV	758583	6
XIV	772614	10
XIV	772613	1
XIV	777554	2
XIV	779309	1
XIV	784007	11
XIV	783997	22
XIV	784055	14
XIV	784053	8
XIV	784109	11
XIV	784096	24
XIV	784083	13
XIV	784131	10
XIV	784143	11
XIV	784184	15
XIV	784172	6
XIV	784164	40
XIV	784199	11
XIV	784210	36
XIV	784241	6
XIV	784215	55
XIV	784254	19
XIV	784303	10
XIV	784279	13
XV	21	13
XV	1	11
XV	22	23
XV	45	13
XV	58	10
XV	11	19
XV	88	11
XV	1086	2
XV	24722	24
XV	28568	9
XV	29052	9
XV	29598	39
XV	30936	39
XV	31175	39
XV	31250	39
XV	45693	2
XV	45898	3
XV	53938	3
XV	55103	10
XV	56377	5
XV	60214	1
XV	63057	3
XV	66830	10
XV	88827	12
XV	94739	8
XV	110776	3
XV	110819	3
XV	110845	3
XV	114172	9
XV	115038	12
XV	115038	24
XV	115084	72
XV	115120	36
XV	117743	11
XV	123331	11
XV	145289	11
XV	157522	15
XV	166769	15
XV	170021	9
XV	170236	8
XV	171892	12
XV	197141	6
XV	197140	6
XV	197140	12
XV	200340	1
XV	216921	16
XV	227290	3
XV	229369	9
XV	235378	3
XV	236203	6
XV	236202	12
XV	236287	6
XV	236965	3
XV	236959	15
XV	236965	18
XV	236968	12
XV	236983	12
XV	241530	7
XV	254480	12
XV	254812	11
XV	256055	9
XV	265197	10
XV	269399	9
XV	269399	18
XV	271957	10
XV	302266	9
XV	307242	12
XV	315622	1
XV	316406	13
XV	318383	12
XV	318384	12
XV	326196	2
XV	341946	12
XV	344717	24
XV	344743	36
XV	346463	33
XV	355084	2
XV	355999	10
XV	361769	18
XV	361781	18
XV	370263	12
XV	392779	11
XV	411546	9
XV	427874	15
XV	427909	3
XV	427999	9
XV	427942	9
XV	427906	12
XV	430165	12
XV	430160	1
XV	431106	9
XV	433169	12
XV	448671	1
XV	448827	11
XV	479260	1
XV	479255	23
XV	479255	8
XV	479422	5
XV	479572	6
XV	520040	10
XV	522812	1
XV	528705	12
XV	535167	3
XV	535183	12
XV	537057	2
XV	537228	6
XV	537239	15
XV	537246	14
XV	540864	9
XV	570977	9
XV	579518	3
XV	589345	15
XV	592304	6
XV	592307	12
XV	594861	11
XV	600443	11
XV	609383	9
XV	630493	3
XV	667556	2
XV	682472	10
XV	700713	12
XV	717176	12
XV	717170	24
XV	717170	36
XV	741052	15
XV	768267	1
XV	768269	13
XV	768667	3
XV	785511	12
XV	795283	7
XV	822925	3
XV	832640	11
XV	836474	10
XV	837019	7
XV	846989	12
XV	854986	2
XV	855715	6
XV	859557	9
XV	859557	18
XV	859735	15
XV	882624	1
XV	888849	1
XV	889006	10
XV	894327	17
XV	896828	9
XV	896829	36
XV	896855	27
XV	896889	9
XV	896855	18
XV	896988	9
XV	896980	14
XV	923127	2
XV	936845	6
XV	944459	1
XV	954142	1
XV	989711	10
XV	998334	8
XV	998338	2
XV	1000967	19
XV	1011456	15
XV	1028815	12
XV	1031382	1
XV	1036137	3
XV	1036594	11
XV	1037518	3
XV	1047126	12
XV	1049203	12
XV	1053663	7
XV	1059870	3
XV	1059868	9
XV	1060170	3
XV	1060764	18
XV	1060799	18
XV	1060833	15
XV	1060850	15
XV	1066174	11
XV	1074690	3
XV	1076631	11
XV	1078207	10
XV	1078207	11
XV	1081607	1
XV	1082856	21
XV	1085012	11
XV	1089256	36
XV	1091133	10
XVI	1494	36
XVI	6113	11
XVI	8248	21
XVI	9511	1
XVI	12909	10
XVI	12910	11
XVI	14484	11
XVI	16368	3
XVI	32642	9
XVI	44909	9
XVI	46579	13
XVI	46582	18
XVI	64352	18
XVI	65845	3
XVI	73046	10
XVI	73097	9
XVI	73960	10
XVI	97916	15
XVI	108100	12
XVI	114110	15
XVI	117184	3
XVI	117199	9
XVI	117184	12
XVI	120120	3
XVI	121980	9
XVI	121980	18
XVI	121983	27
XVI	121992	18
XVI	132260	14
XVI	139584	2
XVI	144690	9
XVI	159924	15
XVI	160182	33
XVI	162375	2
XVI	169553	16
XVI	185373	6
XVI	185396	3
XVI	185378	12
XVI	187314	3
XVI	187343	3
XVI	187343	15
XVI	187343	18
XVI	187379	9
XVI	187447	3
XVI	188927	10
XVI	188929	11
XVI	188929	14
XVI	192967	1
XVI	193563	11
XVI	193906	63
XVI	197704	12
XVI	197736	6
XVI	203981	12
XVI	209896	12
XVI	212824	2
XVI	227580	13
XVI	239119	2
XVI	242435	15
XVI	244249	2
XVI	252241	3
XVI	252245	21
XVI	252242	9
XVI	276644	6
XVI	276663	3
XVI	312943	2
XVI	326585	6
XVI	329082	7
XVI	329089	11
XVI	350023	18
XVI	350222	12
XVI	350725	12
XVI	352501	8
XVI	352497	13
XVI	379346	18
XVI	379390	15
XVI	379437	9
XVI	379390	3
XVI	381849	2
XVI	398025	3
XVI	429675	12
XVI	453578	5
XVI	453823	12
XVI	455695	6
XVI	455695	12
XVI	462245	1
XVI	462795	6
XVI	481284	7
XVI	481357	10
XVI	485927	2
XVI	490088	12
XVI	490096	6
XVI	498654	9
XVI	500984	6
XVI	501024	3
XVI	501020	15
XVI	503379	1
XVI	512873	11
XVI	520953	3
XVI	520957	15
XVI	521032	3
XVI	521055	3
XVI	521086	15
XVI	521091	18
XVI	521086	3
XVI	521170	12
XVI	522055	3
XVI	522105	9
XVI	527356	6
XVI	528209	9
XVI	536682	3
XVI	560521	11
XVI	563512	9
XVI	581339	1
XVI	591721	2
XVI	606365	3
XVI	606381	6
XVI	606365	12
XVI	631154	9
XVI	631148	15
XVI	638903	9
XVI	642183	5
XVI	650474	3
XVI	650541	6
XVI	650547	12
XVI	650475	18
XVI	655080	1
XVI	696350	15
XVI	711481	12
XVI	711599	18
XVI	728634	10
XVI	751995	5
XVI	771365	12
XVI	773362	14
XVI	774821	3
XVI	775874	8
XVI	786276	57
XVI	786509	9
XVI	793581	9
XVI	812686	10
XVI	827511	9
XVI	828513	10
XVI	830693	3
XVI	830976	3
XVI	832597	12
XVI	832892	6
XVI	832892	12
XVI	835078	3
XVI	835345	10
XVI	835975	10
XVI	837813	10
XVI	840628	1
XVI	844452	11
XVI	850043	11
XVI	850906	11
XVI	856494	11
XVI	868954	78
XVI	876244	2
XVI	897095	3
XVI	908166	3
XVI	908145	18
XVI	913752	24
XVI	930092	8
XVI	942906	11
XVI	945988	36
XVI	947971	10
